program_bundle,n_sources,pct
CAANAM + CAASIP + CAATVP,5,0
CAAAR + CAACFC + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAAAR + CAACFC + CAAMACT + CAANESH + CAANSPS + CAASIP + CAATVP,4,0
CAAAR + CAACFC + CAANSPS + CAANSR + CAAPARGDC + CAASIP + CAATVP,4,0
CAAAR + CAACFC + CAANSPS + CAAPARGDC + CAAPSD + CAASIP + CAATVP,4,0
CAAAR + CAAGACTM + CAAMACT + CAANSPS + CAASIP + CAATVP,4,0
CAAAR + CAAGHG + CAAMACT + CAANSPS + CAASIP + CAATVP,4,0
CAAAR + CAATVP,4,0
CAACFC + CAAFENF + CAAMACT + CAANSPS + CAANSR + CAAOTH + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAAPSD + CAATVP,4,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAANSR + CAAPARGDC + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAAMACT + CAANSPS + CAASIP,4,0
CAACFC + CAAGACTM + CAAMACT + CAAPARGDC + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAANSPS + CAAOTH + CAASIP + CAATVP,4,0
CAACFC + CAAGACTM + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPARGDC + CAASIP + CAATVP,4,0
CAACFC + CAAMACT + CAANESH + CAASIP + CAATVP,4,0
CAACFC + CAAMACT + CAANSPS + CAATVP,4,0
CAACFC + CAAMACT + CAANSR + CAAOTH + CAASIP + CAATVP,4,0
CAACFC + CAAMACT + CAAPARGDC + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAAMACT + CAAPARGDC + CAASIP,4,0
CAACFC + CAAMACT + CAAPSD + CAASIP + CAATVP,4,0
CAACFC + CAANESH + CAASIP,4,0
CAACFC + CAATVP,4,0
CAAFENF + CAAFESOP + CAAMACT + CAANSPS + CAASIP,4,0
CAAFENF + CAAGACTM + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAAFENF + CAAMACT + CAAPSD + CAASIP + CAATVP,4,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPS,4,0
CAAFESOP + CAAGACTM + CAAMACT + CAANSPSM + CAASIP,4,0
CAAFESOP + CAAGACTM + CAANESH + CAASIP,4,0
CAAFESOP + CAAGACTM + CAANSPSM,4,0
CAAFESOP + CAAGACTM + CAANSR + CAAPSD + CAASIP,4,0
CAAFESOP + CAAMACT + CAANESH + CAANSPS + CAANSR + CAASIP,4,0
CAAFESOP + CAAMACT + CAANESH + CAANSPS + CAASIP,4,0
CAAFESOP + CAAMACT + CAANESH + CAASIP,4,0
CAAFESOP + CAAMACT + CAANSPS + CAANSR + CAAPSD + CAASIP,4,0
CAAFESOP + CAAMACT + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAAFESOP + CAAPSD,4,0
CAAFIP + CAAMACT + CAANSPS + CAASIP,4,0
CAAFIP + CAANSPS + CAASIP + CAATVP,4,0
CAAGACTM + CAAGHG + CAAMACT + CAANSPS + CAASIP + CAATVP,4,0
CAAGACTM + CAAGHG + CAANSPS + CAAPSD + CAASIP + CAATVP,4,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAANSR + CAAPSD + CAASIP + CAATVP,4,0
CAAGACTM + CAAMACT + CAANESH + CAANSPS + CAASFP + CAASIP + CAATVP,4,0
CAAGACTM + CAAMACT + CAANSPS + CAAOTH + CAAPSD + CAASIP + CAATVP,4,0
CAAGACTM + CAAMACT + CAANSR + CAAPSD + CAASIP + CAATVP,4,0
CAAGACTM + CAANESH + CAANSPS + CAASFP + CAASIP + CAATVP,4,0
CAAGACTM + CAANESH + CAASIP + CAATVP,4,0
CAAGACTM + CAANSPS + CAAPSD + CAATVP,4,0
CAAGHG + CAAMACT + CAANSPS + CAANSR + CAASIP + CAATVP,4,0
CAAGHG + CAAMACT + CAANSR + CAASIP + CAATVP,4,0
CAAGHG + CAAMACT + CAAPSD + CAASIP + CAATVP,4,0
CAAMACT + CAANAM + CAANSPS,4,0
CAAMACT + CAANESH + CAANSPS + CAAPSD + CAARMP + CAASIP + CAATVP,4,0
CAAMACT + CAANFRP + CAANSPS + CAANSR + CAASIP + CAATVP,4,0
