POLLUTANT_CODE,POLLUTANT_DESC,n,pct
300000652,Zinc chromate,2,0
300000655,Diborane,2,0
300000657,Chromic acid cyclohexylamine salt,2,0
300000673,Oxygen,2,0
320002701,Halogens and Hydrogen Halides,2,0
320002703,Total Volatile Hydrocarbons,2,0
603,Benzene,1,0
726,Bromomethane,1,0
955,HCFC [hydrochlorofluorocarbons],1,0
1631,ETHYLBENZENE,1,0
1654,ETHYLENE GLYCOL 95 & 96 [MEDIA OFF-SITE],1,0
1888,FURFURYL ALCOHOL,1,0
2049,Hexane,1,0
2423,Manganese,1,0
2701,n-Hexane,1,0
3792,SODIUM HYDOXIDE,1,0
4311,Trichlorofluoromethane,1,0
4700,"XYLEEN [93, 94, 95, 96 & 97]",1,0
4928,BIS[2-ETHYLHEXYL]PHTHALATE,1,0
6092,STRENE,1,0
7827,Phenanthrene,1,0
8280,PCP,1,0
10115,o-Toluidine,1,0
10345,Chloroform,1,0
10725,Ethylene thiourea,1,0
11673,Tribromomethane,1,0
300000040,Crotonaldehyde,1,0
300000050,Dimethylphenol,1,0
300000053,Hexamethylphosphoramide,1,0
300000059,Chlorobenzilate,1,0
300000061,"HFC-227ea (1,1,1,2,3,3,3-heptafluoropropane)",1,0
300000192,Dichlorvos,1,0
300000199,Propylene glycol,1,0
300000244,beta-Propiolactone,1,0
300000286,5-ETHYLIDENE-2-NORBORNENE,1,0
300000299,CHLOROPHENOLS,1,0
300000300,COKE OVEN COMPOUNDS (E649830),1,0
300000313,OLEFINS,1,0
300000361,Diphenylamine,1,0
300000413,Helium,1,0
300000442,Paraffin wax,1,0
300000445,Tri-n-butyl phosphate,1,0
300000449,Triphenyl phosphate,1,0
300000453,Zirconium,1,0
300000455,"N,N-Dimethyl acetamide, whole water",1,0
300000457,Ethyl methacrylate,1,0
300000459,Butylamine,1,0
300000464,Pentaerythritol,1,0
300000483,Aluminum chloride,1,0
300000486,"2,3-Dichloropropene",1,0
300000488,"2,3,4,6-Tetrachlorophenol",1,0
300000501,Ethylenediamine,1,0
300000504,Pentanoic acid,1,0
300000505,Phenyl glycidyl ether,1,0
300000514,Potassium cyanide,1,0
300000516,Freshwater in drilling fluids,1,0
300000520,Methacrylonitrile,1,0
300000524,CFC-115,1,0
300000526,2-Chloroethanol,1,0
300000527,Iodine,1,0
300000528,"2,4-Dichlorophenol",1,0
300000531,Methyl disulfide,1,0
300000533,Indium,1,0
300000534,Aroclor 1242,1,0
300000535,"cis-1,3-Dichloropropene",1,0
300000536,"trans-1,4-Dichloro-2-butene",1,0
300000537,Chlorodibromomethane,1,0
300000538,"cis-1,2-Dichloroethylene",1,0
300000539,2-Hexanone,1,0
300000540,Halon 1011,1,0
300000542,Ethyl mercaptan,1,0
300000545,Nitroglycerin,1,0
300000546,Safrole,1,0
300000547,Thimerosal,1,0
300000548,Benzamide,1,0
300000554,CFC-114,1,0
300000555,Tri-o-cresyl phosphate,1,0
300000556,Isobutyronitrile,1,0
300000557,2-Chloro-1-propanol,1,0
300000562,Isobutyl isobutyrate,1,0
300000569,"4,4' - diaminodiphenyl ether",1,0
300000571,2-Ethylhexyl acrylate,1,0
300000572,sec-Butyl acetate,1,0
300000574,1-Propanethiol,1,0
300000576,Chloroacetaldehyde,1,0
300000578,Diisopropylamine,1,0
300000583,Cyclohexanol,1,0
300000584,Butanenitrile,1,0
300000586,Ethyl formate,1,0
300000587,2-Heptanone,1,0
300000588,"Ethylene glycol monomethyl ether acEthanol, 2-methoxy-, 1-acetate",1,0
300000590,"Ethylene glycol monoethyl ether acetEthanol, 2-ethoxy-, 1-acetate",1,0
300000596,Isoamyl acetate,1,0
300000599,"1,4-Diazabicyclo[2.2.2]octane",1,0
300000601,Diethyl sulfide,1,0
300000602,Ketene,1,0
300000604,Mustard gas,1,0
300000606,Cyclopentadiene,1,0
300000607,Lithium acetate,1,0
300000613,Cadmium oxide,1,0
300000620,Allyl propyl disulfide,1,0
300000622,"C.I. Acid Blue 9, diammonium salt",1,0
300000624,"1-(3-Chloroallyl)-3,5,7-Triaza-1-azoniaadamantane chloride",1,0
300000628,Phosphorus trichloride,1,0
300000629,Zinc sulfate,1,0
300000632,Lithium amide,1,0
300000633,Hydrogen selenide,1,0
300000635,Arsine,1,0
300000638,Strontium chromate,1,0
300000646,Polyvinyl alcohol,1,0
300000648,Boron trichloride,1,0
300000656,2-Dodecenylsuccinic anhydride,1,0
300000662,Naphthalene diisocyanate,1,0
300000663,Diisodecyl phthalate,1,0
300000666,Dipropylene glycol monomethyl ether,1,0
320002705,Total Selected Metals,1,0
