ACTIVITY_ID,n
3400306003,2
3400306005,2
3400306007,2
3400306009,2
3400306010,2
3400306012,2
3400306014,2
3400306016,2
3400306024,2
3400306026,2
3400306028,2
3400306030,2
3400306031,2
3400306033,2
3400306035,2
3400306037,2
3400306061,2
3400306063,2
3400306065,2
3400306067,2
3400306068,2
3400306100,2
3400306102,2
3400306104,2
3400306106,2
3400306108,2
3400306110,2
3400306112,2
3400306114,2
3400306116,2
3400306117,2
3400306119,2
3400306120,2
3400306122,2
3400306124,2
3400306126,2
3400306127,2
3400306190,2
3400306192,2
3400306200,2
3400306457,2
3400306470,2
3400306496,2
3400306498,2
3400306515,2
3400306524,2
3400306526,2
3400306528,2
3400306554,2
3400306583,2
3400306585,2
3400306587,2
3400306589,2
3400306594,2
3400306609,2
3400306611,2
3400306613,2
3400306615,2
3400306616,2
3400306618,2
3400306624,2
3400306636,2
3400306638,2
3400306639,2
3400306641,2
3400306643,2
3400306645,2
3400306647,2
3400306654,2
3400306656,2
3400306658,2
3400306671,2
3400306672,2
3400306701,2
3400306702,2
3400306704,2
3400306706,2
3400306721,2
3400306723,2
3400306724,2
3400306726,2
3400306728,2
3400306730,2
3400306731,2
3400306733,2
3400306735,2
3400306745,2
3400306752,2
3400306754,2
3400306756,2
3400306757,2
3400306759,2
3400306761,2
3400306762,2
3400306764,2
3400306775,2
3400306776,2
3400306778,2
3400306780,2
3400306782,2
3400306792,2
3400306825,2
3400306827,2
3400306829,2
3400306831,2
3400306833,2
3400306834,2
3400306836,2
3400306838,2
3400306840,2
3400306841,2
3400306843,2
3400306849,2
3400306851,2
3400306856,2
3400306858,2
3400306860,2
3400306867,2
3400306869,2
3400306873,2
3400306875,2
3400306879,2
3400306884,2
3400306885,2
3400306905,2
3400306911,2
3400306913,2
3400306919,2
3400306920,2
3400306926,2
3400306928,2
3400306929,2
3400306932,2
3400306933,2
3400306937,2
3400306942,2
3400306944,2
3400306946,2
3400306956,2
3400306958,2
3400306959,2
3400306961,2
3400306963,2
3400306965,2
3400306969,2
3400306972,2
3400306974,2
3400306993,2
3400306995,2
3400306999,2
3400307012,2
3400307013,2
3400307015,2
3400307017,2
3400307022,2
3400307024,2
3400307028,2
3400307033,2
3400307035,2
3400307037,2
3400307039,2
3400307041,2
3400307043,2
3400307044,2
3400307046,2
3400307048,2
3400307050,2
3400307052,2
3400307053,2
3400307057,2
3400307059,2
3400307060,2
3400307062,2
3400307064,2
3400307066,2
3400307076,2
3400307082,2
3400307085,2
3400307088,2
3400307090,2
3400307092,2
3400307094,2
3400307096,2
3400307097,2
3400307099,2
3400307110,2
3400307112,2
3400307114,2
3400307116,2
3400307117,2
3400307119,2
3400307121,2
3400307123,2
3400307125,2
3400307127,2
3400307128,2
3400307130,2
3400307132,2
3400307134,2
3400307136,2
3400307138,2
3400307139,2
3400307159,2
3400307161,2
3400307163,2
3400307164,2
3400307170,2
3400307175,2
3400307177,2
3400307179,2
3400307182,2
3400307184,2
3400307185,2
3400307187,2
3400307189,2
3400307192,2
3400307194,2
3400307196,2
3400307197,2
3400307199,2
3400307201,2
3400307202,2
3400307204,2
3400307205,2
3400307207,2
3400307211,2
3400307212,2
3400307215,2
3400307217,2
3400307219,2
3400307223,2
3400307225,2
3400307228,2
3400307230,2
3400307232,2
3400307234,2
3400307238,2
3400307244,2
3400307246,2
3400307247,2
3400307250,2
3400307252,2
3400307254,2
3400307255,2
3400307257,2
3400307259,2
3400307261,2
3400307263,2
3400307264,2
3400307269,2
3400307271,2
3400307273,2
3400307277,2
3400307280,2
3400307282,2
3400307286,2
3400307287,2
3400307289,2
3400307291,2
3400307293,2
3400307294,2
3400307296,2
3400307308,2
3400307310,2
3400307312,2
3400307314,2
3400307315,2
3400307317,2
3400307321,2
3400307323,2
3400307325,2
3400307326,2
3400307329,2
3400307331,2
3400307332,2
3400307334,2
3400307337,2
3400307341,2
3400307343,2
3400307345,2
3400307348,2
3400307350,2
3400307352,2
3400307354,2
3400307355,2
3400307357,2
3400307361,2
3400307367,2
3400307370,2
3400307372,2
3400307374,2
3400307377,2
3400307403,2
3400307405,2
3400307407,2
3400307409,2
3400307411,2
3400307412,2
3400307414,2
3400307416,2
3400307418,2
3400307420,2
3400307422,2
3400307424,2
3400307425,2
3400307427,2
3400307429,2
3400307431,2
3400307433,2
3400307434,2
3400307436,2
3400307438,2
3400307439,2
3400307441,2
3400307443,2
3400307448,2
3400307452,2
3400307458,2
3400307459,2
3400307461,2
3400307464,2
3400307466,2
3400307468,2
3400307470,2
3400307472,2
3400307474,2
3400307475,2
3400307479,2
3400307485,2
3400307490,2
3400307492,2
3400307494,2
3400307496,2
3400307498,2
3400307500,2
3400307502,2
3400307503,2
3400307505,2
3400307509,2
3400307511,2
3400307513,2
3400307514,2
3400307522,2
3400307525,2
3400307534,2
3400307537,2
3400307539,2
3400307541,2
3400307543,2
3400307545,2
3400307547,2
3400307548,2
3400307550,2
3400307551,2
3400307554,2
3400307555,2
3400307557,2
3400307562,2
3400307567,2
3400307570,2
3400307572,2
3400307574,2
3400307575,2
3400307577,2
3400307579,2
3400307581,2
3400307583,2
3400307586,2
3400307588,2
3400307589,2
3400307591,2
3400307593,2
3400307594,2
3400307600,2
3400307604,2
3400307608,2
3400307613,2
3400307615,2
3400307617,2
3400307618,2
3400307620,2
3400307624,2
3400307626,2
3400307628,2
3400307633,2
3400307635,2
3400307637,2
3400307641,2
3400307643,2
3400307645,2
3400307647,2
3400307649,2
3400307651,2
3400307653,2
3400307659,2
3400307661,2
3400307663,2
3400307664,2
3400307672,2
3400307673,2
3400307675,2
3400307677,2
3400307679,2
3400307682,2
3400307685,2
3400307687,2
3400307691,2
3400307693,2
3400307696,2
3400307698,2
3400307700,2
3400307701,2
3400307703,2
3400307705,2
