PGM_SYS_ID,POLLUTANT_CODE,n
06000000480916E007,300000074,2
06000000480916E008,300000074,2
06000000480916E009,300000074,2
06000000480916E010,300000074,2
06000000480976E001,300000074,2
06000000480976E002,300000074,2
06000000480976E003,300000074,2
06000000480976E004,300000074,2
06000000480976E005,300000210,2
06000000480976E006,300000210,2
06000000480996E001,300000210,2
06000000481056E001,300000243,2
06000000481136E001,300000074,2
06000000481136E002,300000074,2
06000000481136E003,300000074,2
06000000481136E004,300000074,2
06000000481136E005,300000074,2
06000000481136E006,300000074,2
06000000481136E007,300000074,2
06000000481136E008,300000074,2
06000000481136E009,300000074,2
06000000481136E010,300000074,2
06000000481136E011,300000074,2
06000000481136E012,300000074,2
06000000481136E013,300000074,2
06000000481136E014,300000074,2
06000000481136E015,300000074,2
06000000481136E016,300000074,2
06000000481136E017,300000074,2
06000000481136E018,300000074,2
06000000481136E019,300000074,2
06000000481136E020,300000074,2
06000000481136E021,300000074,2
06000000481136E022,300000074,2
06000000481136E023,300000074,2
06000000481136E024,300000074,2
06000000481136E025,300000074,2
06000000481136E026,300000074,2
06000000481136E027,300000074,2
06000000481136E028,300000074,2
06000000481136E029,300000074,2
06000000481136E030,300000074,2
06000000481136E031,300000074,2
06000000481136E032,300000074,2
06000000481136E033,300000074,2
06000000481136E034,300000074,2
06000000481136E035,300000074,2
06000000481136E036,300000074,2
06000000481136E037,300000074,2
06000000481136E038,300000074,2
06000000481136E039,300000074,2
06000000481136E040,300000074,2
06000000481136E041,300000074,2
06000000481136E042,300000074,2
06000000481136E043,300000074,2
06000000481136E044,300000074,2
06000000481136E045,300000074,2
06000000481136E046,300000074,2
06000000481136E047,300000074,2
06000000481136E048,300000074,2
06000000481136E049,300000074,2
06000000481136E050,300000074,2
06000000481136E051,300000074,2
06000000481136E052,300000074,2
06000000481136E053,300000074,2
06000000481136E054,300000074,2
06000000481136E055,300000074,2
06000000481136E056,300000074,2
06000000481136E057,300000074,2
06000000481136E058,300000074,2
06000000481136E059,300000074,2
06000000481136E060,300000074,2
06000000481136E061,300000074,2
06000000481136E062,300000074,2
06000000481136E063,300000074,2
06000000481136E064,300000074,2
06000000481136E065,300000074,2
06000000481136E066,300000074,2
06000000481136E067,300000074,2
06000000481136E068,300000074,2
06000000481136E069,300000074,2
06000000481136E070,300000074,2
06000000481136E071,300000074,2
06000000481136E072,300000074,2
06000000481136E073,300000074,2
06000000481136E074,300000074,2
06000000481136E075,300000074,2
06000000481136E076,300000074,2
06000000481136E077,300000074,2
06000000481136E078,300000074,2
06000000481136E079,300000074,2
06000000481136E080,300000074,2
06000000481136E081,300000074,2
06000000481136E082,300000074,2
06000000481136E083,300000074,2
06000000481136E084,300000074,2
06000000481136E085,300000074,2
06000000481136E086,300000074,2
06000000481136E087,300000074,2
06000000481136E088,300000074,2
06000000481136E089,300000074,2
06000000481136E090,300000074,2
06000000481136E091,300000074,2
06000000481136E092,300000074,2
06000000481136E093,300000074,2
06000000481136E095,300000074,2
06000000481136E096,300000074,2
06000000481136E097,300000074,2
06000000481136E098,300000074,2
06000000481136E099,300000074,2
06000000481136E100,300000074,2
06000000481136E101,300000074,2
06000000481136E102,300000074,2
06000000481136E103,300000074,2
06000000481136E104,300000074,2
06000000481136E105,300000074,2
06000000481136E106,300000074,2
06000000481136E107,300000074,2
06000000481136E108,300000074,2
06000000481136E109,300000074,2
06000000481136E110,300000074,2
06000000481136E111,300000074,2
06000000481136E112,300000074,2
06000000481136E113,300000074,2
06000000481136E114,300000074,2
06000000481136E115,300000074,2
06000000481136E116,300000074,2
06000000481136E117,300000074,2
06000000481136E118,300000074,2
06000000481136E119,300000074,2
06000000481136E120,300000074,2
06000000481136E121,300000074,2
06000000481136E122,300000074,2
06000000481136E123,300000240,2
06000000481136E124,300000074,2
06000000481136E125,300000074,2
06000000481136E126,300000074,2
06000000481136E127,300000074,2
06000000481136E128,300000074,2
06000000481136E129,300000074,2
06000000481136E130,300000074,2
06000000481136E131,300000074,2
06000000481136E132,300000074,2
06000000481136E133,300000074,2
06000000481136E134,300000074,2
06000000481136E135,300000074,2
06000000481136E136,300000074,2
06000000481136E137,300000074,2
06000000481136E138,300000240,2
06000000481136E139,300000074,2
06000000481136E140,300000240,2
06000000481136E141,300000074,2
06000000481136E142,300000074,2
06000000481136E143,300000210,2
06000000481136E144,300000074,2
06000000481136E145,300000074,2
06000000481136E146,300000074,2
06000000481136E147,300000074,2
06000000481136E148,300000074,2
06000000481136E149,300000074,2
06000000481136E150,300000074,2
06000000481136E151,300000074,2
06000000481136E152,300000074,2
06000000481136E154,300000240,2
06000000481136E155,300000074,2
06000000481136E156,300000210,2
06000000481136E157,300000210,2
06000000481136E158,300000210,2
