ACTIVITY_ID,n
3603719679,12
3603724602,24
3603725901,4
3603736282,3
3603736904,2
3603737123,3
3603746918,2
3603753370,2
3603754492,2
3603798001,2
3603798007,2
3603798012,2
3603798728,2
3603886880,3
3603895759,2
3603902636,2
3603928446,3
3603928469,2
3603928478,2
3603928485,3
3603928488,3
3603941813,2
3603954112,14
3603954896,3
3603993003,6
3603998860,3
3604003531,2
3604013808,8
3604022469,2
3604030151,2
3604069060,2
3604071859,6
3604073478,2
3604073846,3
3604093286,16
3604118503,2
3604126186,7
3604137370,4
3604175555,2
3604184258,2
3604199628,2
3604200336,10
3604201429,2
3604206435,43
3604222696,3
3604241361,2
3604259494,23
3604298042,2
3604330560,27
3604331044,26
3604373014,11
3604393429,2
3604405060,2
3604423597,5
3604442401,4
3604444401,2
3604449479,2
3604450132,2
3604450134,2
3604479755,2
3604490209,8
3604557903,2
3604598250,2
3604603978,2
3604604046,2
3604605524,7
3604615658,2
3604686239,2
3604717645,2
3604728001,4
3604831349,2
3604840641,2
3604842316,5
3604850477,14
3604892570,10
3604922898,2
